,Continent,ObservationDate,Province_State,Country,Confirmed,Deaths,Recovered,latitude,longitude,Total Confirmed,Total Deaths,Total Recovered,Active Cases,days_since_first,previous_Confirmed,previous_Activecases,previous_Death,previous_Recovered,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Net migration,GDP ($ per capita),Deathrate
33,Asia,2020-01-22,Yunnan,China,1.0,0.0,0.0,35.86166,104.195397,540.0,17.0,28.0,585.0,1,0.0,584.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
34,Asia,2020-01-22,Zhejiang,China,10.0,0.0,0.0,35.86166,104.195397,550.0,17.0,28.0,595.0,2,1.0,585.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
35,Asia,2020-01-22,Unknown,Japan,2.0,0.0,0.0,36.204824,138.252924,552.0,17.0,28.0,597.0,0,0.0,0.0,0.0,0.0,127463611.0,377835.0,"337,4",0,28200.0,"9,16"
36,Asia,2020-01-22,Unknown,Thailand,2.0,0.0,0.0,15.870032,100.992541,554.0,17.0,28.0,599.0,0,0.0,0.0,0.0,0.0,64631595.0,514000.0,"125,7",0,7400.0,"7,04"
37,Asia,2020-01-22,Unknown,South Korea,1.0,0.0,0.0,35.90775700000001,127.766922,555.0,17.0,28.0,600.0,0,0.0,0.0,0.0,0.0,48846823.0,98480.0,"496,0",0,17800.0,"5,85"
38,Asia,2020-01-23,Anhui,China,9.0,0.0,0.0,35.86166,104.195397,564.0,17.0,28.0,609.0,0,0.0,0.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
39,Asia,2020-01-23,Beijing,China,22.0,0.0,0.0,35.86166,104.195397,586.0,17.0,28.0,631.0,1,9.0,609.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
40,Asia,2020-01-23,Chongqing,China,9.0,0.0,0.0,35.86166,104.195397,595.0,17.0,28.0,640.0,2,22.0,631.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
41,Asia,2020-01-23,Fujian,China,5.0,0.0,0.0,35.86166,104.195397,600.0,17.0,28.0,645.0,3,9.0,640.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
42,Asia,2020-01-23,Gansu,China,2.0,0.0,0.0,35.86166,104.195397,602.0,17.0,28.0,647.0,4,5.0,645.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
43,Asia,2020-01-23,Guangdong,China,32.0,0.0,2.0,35.86166,104.195397,634.0,17.0,30.0,681.0,5,2.0,647.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
44,Asia,2020-01-23,Guangxi,China,5.0,0.0,0.0,35.86166,104.195397,639.0,17.0,30.0,686.0,6,32.0,681.0,0.0,2.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
45,Asia,2020-01-23,Guizhou,China,3.0,0.0,0.0,35.86166,104.195397,642.0,17.0,30.0,689.0,7,5.0,686.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
46,Asia,2020-01-23,Hainan,China,5.0,0.0,0.0,35.86166,104.195397,647.0,17.0,30.0,694.0,8,3.0,689.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
47,Asia,2020-01-23,Hebei,China,1.0,1.0,0.0,35.86166,104.195397,648.0,18.0,30.0,696.0,9,5.0,694.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
48,Asia,2020-01-23,Heilongjiang,China,2.0,0.0,0.0,35.86166,104.195397,650.0,18.0,30.0,698.0,10,1.0,696.0,1.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
49,Asia,2020-01-23,Henan,China,5.0,0.0,0.0,35.86166,104.195397,655.0,18.0,30.0,703.0,11,2.0,698.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
50,Asia,2020-01-23,Hong Kong,Hong Kong,2.0,0.0,0.0,22.396428,114.109497,657.0,18.0,30.0,705.0,0,0.0,0.0,0.0,0.0,6940432.0,1092.0,"6355,7","5,24",28800.0,"6,29"
51,Asia,2020-01-23,Hubei,China,444.0,17.0,28.0,35.86166,104.195397,1101.0,35.0,58.0,1194.0,0,0.0,0.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
52,Asia,2020-01-23,Hunan,China,9.0,0.0,0.0,35.86166,104.195397,1110.0,35.0,58.0,1203.0,1,444.0,1194.0,17.0,28.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
53,Asia,2020-01-23,Inner Mongolia,China,0.0,0.0,0.0,35.86166,104.195397,1110.0,35.0,58.0,1203.0,2,9.0,1203.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
54,Asia,2020-01-23,Jiangsu,China,5.0,0.0,0.0,35.86166,104.195397,1115.0,35.0,58.0,1208.0,3,0.0,1203.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
55,Asia,2020-01-23,Jiangxi,China,7.0,0.0,0.0,35.86166,104.195397,1122.0,35.0,58.0,1215.0,4,5.0,1208.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
56,Asia,2020-01-23,Jilin,China,1.0,0.0,0.0,35.86166,104.195397,1123.0,35.0,58.0,1216.0,5,7.0,1215.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
57,Asia,2020-01-23,Liaoning,China,3.0,0.0,0.0,35.86166,104.195397,1126.0,35.0,58.0,1219.0,6,1.0,1216.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
58,Asia,2020-01-23,Macau,Macao,2.0,0.0,0.0,22.198745,113.543873,1128.0,35.0,58.0,1221.0,0,0.0,0.0,0.0,0.0,453125.0,28.0,"16183,0","4,86",19400.0,"4,47"
59,Asia,2020-01-23,Ningxia,China,1.0,0.0,0.0,35.86166,104.195397,1129.0,35.0,58.0,1222.0,0,0.0,0.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
60,Asia,2020-01-23,Qinghai,China,0.0,0.0,0.0,35.86166,104.195397,1129.0,35.0,58.0,1222.0,1,1.0,1222.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
61,Asia,2020-01-23,Shaanxi,China,3.0,0.0,0.0,35.86166,104.195397,1132.0,35.0,58.0,1225.0,2,0.0,1222.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
62,Asia,2020-01-23,Shandong,China,6.0,0.0,0.0,35.86166,104.195397,1138.0,35.0,58.0,1231.0,3,3.0,1225.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
63,Asia,2020-01-23,Shanghai,China,16.0,0.0,0.0,35.86166,104.195397,1154.0,35.0,58.0,1247.0,4,6.0,1231.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
64,Asia,2020-01-23,Shanxi,China,1.0,0.0,0.0,35.86166,104.195397,1155.0,35.0,58.0,1248.0,5,16.0,1247.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
65,Asia,2020-01-23,Sichuan,China,8.0,0.0,0.0,35.86166,104.195397,1163.0,35.0,58.0,1256.0,6,1.0,1248.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
66,Asia,2020-01-23,Taiwan,Taiwan,1.0,0.0,0.0,23.69781,120.960515,1164.0,35.0,58.0,1257.0,0,0.0,0.0,0.0,0.0,23036087.0,35980.0,"640,3",0,23400.0,"6,48"
67,Asia,2020-01-23,Tianjin,China,4.0,0.0,0.0,35.86166,104.195397,1168.0,35.0,58.0,1261.0,0,0.0,0.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
68,Asia,2020-01-23,Tibet,China,0.0,0.0,0.0,35.86166,104.195397,1168.0,35.0,58.0,1261.0,1,4.0,1261.0,0.0,0.0,1313973713.0,9596960.0,"136,9","-0,4",5000.0,"6,97"
69,America,2020-01-23,Washington,United States,1.0,0.0,0.0,37.09024,-95.712891,1169.0,35.0,58.0,1262.0,0,0.0,0.0,0.0,0.0,298444215.0,9631420.0,"31,0","3,41",37800.0,"8,26"
